name,freq,gender
MARY,2.629,female
PATRICIA,1.073,female
LINDA,1.035,female
BARBARA,0.980,female
ELIZABETH,0.937,female
JENNIFER,0.932,female
MARIA,0.828,female
SUSAN,0.794,female
MARGARET,0.768,female
DOROTHY,0.727,female
LISA,0.704,female
NANCY,0.669,female
KAREN,0.667,female
BETTY,0.666,female
HELEN,0.663,female
SANDRA,0.629,female
DONNA,0.583,female
CAROL,0.565,female
RUTH,0.562,female
SHARON,0.522,female
MICHELLE,0.519,female
LAURA,0.510,female
SARAH,0.508,female
KIMBERLY,0.504,female
DEBORAH,0.494,female
JESSICA,0.490,female
SHIRLEY,0.482,female
CYNTHIA,0.469,female
ANGELA,0.468,female
MELISSA,0.462,female
BRENDA,0.455,female
AMY,0.451,female
ANNA,0.440,female
REBECCA,0.430,female
VIRGINIA,0.430,female
KATHLEEN,0.424,female
PAMELA,0.416,female
MARTHA,0.412,female
DEBRA,0.408,female
AMANDA,0.404,female
STEPHANIE,0.400,female
CAROLYN,0.385,female
CHRISTINE,0.382,female
MARIE,0.379,female
JANET,0.379,female
CATHERINE,0.373,female
FRANCES,0.370,female
ANN,0.364,female
JOYCE,0.364,female
DIANE,0.359,female
ALICE,0.357,female
JULIE,0.348,female
HEATHER,0.337,female
TERESA,0.336,female
DORIS,0.335,female
GLORIA,0.335,female
EVELYN,0.322,female
JEAN,0.315,female
CHERYL,0.315,female
MILDRED,0.313,female
KATHERINE,0.313,female
JOAN,0.306,female
ASHLEY,0.303,female
JUDITH,0.297,female
ROSE,0.296,female
JANICE,0.285,female
KELLY,0.283,female
NICOLE,0.281,female
JUDY,0.276,female
CHRISTINA,0.275,female
KATHY,0.272,female
THERESA,0.271,female
BEVERLY,0.267,female
DENISE,0.264,female
TAMMY,0.259,female
IRENE,0.252,female
JANE,0.250,female
LORI,0.248,female
RACHEL,0.242,female
MARILYN,0.241,female
ANDREA,0.236,female
KATHRYN,0.234,female
LOUISE,0.229,female
SARA,0.229,female
ANNE,0.228,female
JACQUELINE,0.228,female
WANDA,0.226,female
BONNIE,0.223,female
JULIA,0.223,female
RUBY,0.221,female
LOIS,0.220,female
TINA,0.220,female
PHYLLIS,0.219,female
NORMA,0.218,female
PAULA,0.217,female
DIANA,0.216,female
ANNIE,0.216,female
LILLIAN,0.211,female
EMILY,0.208,female
ROBIN,0.208,female
PEGGY,0.208,female
CRYSTAL,0.207,female
GLADYS,0.205,female
RITA,0.204,female
DAWN,0.202,female
CONNIE,0.200,female
FLORENCE,0.200,female
TRACY,0.197,female
EDNA,0.197,female
TIFFANY,0.195,female
CARMEN,0.195,female
ROSA,0.194,female
CINDY,0.192,female
GRACE,0.189,female
WENDY,0.185,female
VICTORIA,0.180,female
EDITH,0.179,female
KIM,0.178,female
SHERRY,0.178,female
SYLVIA,0.177,female
JOSEPHINE,0.177,female
THELMA,0.175,female
SHANNON,0.175,female
SHEILA,0.175,female
ETHEL,0.174,female
ELLEN,0.173,female
ELAINE,0.173,female
MARJORIE,0.173,female
CARRIE,0.171,female
CHARLOTTE,0.169,female
MONICA,0.166,female
ESTHER,0.166,female
PAULINE,0.165,female
EMMA,0.165,female
JUANITA,0.164,female
ANITA,0.162,female
RHONDA,0.162,female
HAZEL,0.161,female
AMBER,0.160,female
EVA,0.159,female
DEBBIE,0.157,female
APRIL,0.154,female
LESLIE,0.154,female
CLARA,0.153,female
LUCILLE,0.153,female
JAMIE,0.153,female
JOANNE,0.150,female
ELEANOR,0.150,female
VALERIE,0.149,female
DANIELLE,0.149,female
MEGAN,0.147,female
ALICIA,0.146,female
SUZANNE,0.145,female
MICHELE,0.145,female
GAIL,0.145,female
BERTHA,0.143,female
DARLENE,0.142,female
VERONICA,0.142,female
JILL,0.142,female
ERIN,0.141,female
GERALDINE,0.141,female
LAUREN,0.137,female
CATHY,0.137,female
JOANN,0.136,female
LORRAINE,0.135,female
LYNN,0.135,female
SALLY,0.135,female
REGINA,0.133,female
ERICA,0.130,female
BEATRICE,0.130,female
DOLORES,0.129,female
BERNICE,0.128,female
AUDREY,0.127,female
YVONNE,0.126,female
ANNETTE,0.125,female
JUNE,0.125,female
SAMANTHA,0.124,female
MARION,0.122,female
DANA,0.122,female
STACY,0.121,female
ANA,0.120,female
RENEE,0.120,female
IDA,0.118,female
VIVIAN,0.118,female
ROBERTA,0.117,female
HOLLY,0.117,female
BRITTANY,0.117,female
MELANIE,0.116,female
LORETTA,0.115,female
YOLANDA,0.115,female
JEANETTE,0.115,female
LAURIE,0.114,female
KATIE,0.113,female
KRISTEN,0.111,female
VANESSA,0.111,female
ALMA,0.111,female
SUE,0.111,female
ELSIE,0.110,female
BETH,0.110,female
JEANNE,0.109,female
VICKI,0.109,female
CARLA,0.107,female
TARA,0.107,female
ROSEMARY,0.107,female
EILEEN,0.105,female
TERRI,0.105,female
GERTRUDE,0.103,female
LUCY,0.103,female
TONYA,0.102,female
ELLA,0.101,female
STACEY,0.101,female
WILMA,0.099,female
GINA,0.099,female
KRISTIN,0.099,female
JESSIE,0.098,female
NATALIE,0.098,female
AGNES,0.098,female
VERA,0.098,female
WILLIE,0.097,female
CHARLENE,0.097,female
BESSIE,0.096,female
DELORES,0.095,female
MELINDA,0.094,female
PEARL,0.094,female
ARLENE,0.094,female
MAUREEN,0.092,female
COLLEEN,0.092,female
ALLISON,0.092,female
TAMARA,0.092,female
JOY,0.091,female
GEORGIA,0.091,female
CONSTANCE,0.091,female
LILLIE,0.090,female
CLAUDIA,0.090,female
JACKIE,0.090,female
MARCIA,0.090,female
TANYA,0.089,female
NELLIE,0.089,female
MINNIE,0.089,female
MARLENE,0.088,female
HEIDI,0.088,female
GLENDA,0.088,female
LYDIA,0.086,female
VIOLA,0.086,female
COURTNEY,0.086,female
MARIAN,0.086,female
STELLA,0.085,female
CAROLINE,0.085,female
DORA,0.084,female
JO,0.083,female
VICKIE,0.082,female
MATTIE,0.081,female
TERRY,0.080,female
MAXINE,0.079,female
IRMA,0.079,female
MABEL,0.078,female
MARSHA,0.078,female
MYRTLE,0.078,female
LENA,0.077,female
CHRISTY,0.077,female
DEANNA,0.076,female
PATSY,0.076,female
HILDA,0.075,female
GWENDOLYN,0.074,female
JENNIE,0.073,female
NORA,0.073,female
MARGIE,0.072,female
NINA,0.072,female
CASSANDRA,0.072,female
LEAH,0.072,female
PENNY,0.071,female
KAY,0.071,female
PRISCILLA,0.071,female
NAOMI,0.071,female
CAROLE,0.071,female
BRANDY,0.070,female
OLGA,0.070,female
BILLIE,0.069,female
DIANNE,0.069,female
TRACEY,0.069,female
LEONA,0.069,female
JENNY,0.068,female
FELICIA,0.068,female
SONIA,0.068,female
MIRIAM,0.066,female
VELMA,0.066,female
BECKY,0.066,female
BOBBIE,0.065,female
VIOLET,0.065,female
KRISTINA,0.065,female
TONI,0.064,female
MISTY,0.063,female
MAE,0.063,female
SHELLY,0.062,female
DAISY,0.062,female
RAMONA,0.062,female
SHERRI,0.062,female
ERIKA,0.061,female
KATRINA,0.061,female
CLAIRE,0.061,female
LINDSEY,0.060,female
LINDSAY,0.060,female
GENEVA,0.059,female
GUADALUPE,0.059,female
BELINDA,0.059,female
MARGARITA,0.059,female
SHERYL,0.059,female
CORA,0.058,female
FAYE,0.058,female
ADA,0.057,female
NATASHA,0.057,female
SABRINA,0.057,female
ISABEL,0.057,female
MARGUERITE,0.056,female
HATTIE,0.056,female
HARRIET,0.056,female
MOLLY,0.055,female
CECILIA,0.055,female
KRISTI,0.055,female
BRANDI,0.055,female
BLANCHE,0.055,female
SANDY,0.055,female
ROSIE,0.055,female
JOANNA,0.055,female
IRIS,0.055,female
EUNICE,0.054,female
ANGIE,0.054,female
INEZ,0.053,female
LYNDA,0.053,female
MADELINE,0.052,female
AMELIA,0.052,female
ALBERTA,0.052,female
GENEVIEVE,0.051,female
MONIQUE,0.051,female
JODI,0.051,female
JANIE,0.051,female
MAGGIE,0.051,female
KAYLA,0.051,female
SONYA,0.051,female
JAN,0.051,female
LEE,0.051,female
KRISTINE,0.051,female
CANDACE,0.051,female
FANNIE,0.050,female
MARYANN,0.050,female
OPAL,0.050,female
ALISON,0.050,female
YVETTE,0.050,female
MELODY,0.050,female
LUZ,0.049,female
SUSIE,0.049,female
OLIVIA,0.049,female
FLORA,0.049,female
SHELLEY,0.049,female
KRISTY,0.048,female
MAMIE,0.048,female
LULA,0.048,female
LOLA,0.048,female
VERNA,0.048,female
BEULAH,0.048,female
ANTOINETTE,0.048,female
CANDICE,0.046,female
JUANA,0.046,female
JEANNETTE,0.046,female
PAM,0.046,female
KELLI,0.046,female
HANNAH,0.045,female
WHITNEY,0.045,female
BRIDGET,0.045,female
KARLA,0.044,female
CELIA,0.044,female
LATOYA,0.043,female
PATTY,0.043,female
SHELIA,0.043,female
GAYLE,0.043,female
DELLA,0.043,female
VICKY,0.043,female
LYNNE,0.043,female
SHERI,0.042,female
MARIANNE,0.042,female
KARA,0.041,female
JACQUELYN,0.041,female
ERMA,0.041,female
BLANCA,0.041,female
MYRA,0.040,female
LETICIA,0.040,female
PAT,0.040,female
KRISTA,0.040,female
ROXANNE,0.040,female
ANGELICA,0.039,female
JOHNNIE,0.039,female
ROBYN,0.039,female
FRANCIS,0.039,female
ADRIENNE,0.039,female
ROSALIE,0.039,female
ALEXANDRA,0.039,female
BROOKE,0.039,female
BETHANY,0.039,female
SADIE,0.039,female
BERNADETTE,0.039,female
TRACI,0.038,female
JODY,0.038,female
KENDRA,0.038,female
JASMINE,0.038,female
NICHOLE,0.038,female
RACHAEL,0.038,female
CHELSEA,0.038,female
MABLE,0.038,female
ERNESTINE,0.038,female
MURIEL,0.038,female
MARCELLA,0.037,female
ELENA,0.037,female
KRYSTAL,0.037,female
ANGELINA,0.037,female
NADINE,0.036,female
KARI,0.036,female
ESTELLE,0.036,female
DIANNA,0.036,female
PAULETTE,0.036,female
LORA,0.036,female
MONA,0.035,female
DOREEN,0.035,female
ROSEMARIE,0.035,female
ANGEL,0.035,female
DESIREE,0.035,female
ANTONIA,0.035,female
HOPE,0.034,female
GINGER,0.034,female
JANIS,0.034,female
BETSY,0.034,female
CHRISTIE,0.034,female
FREDA,0.034,female
MERCEDES,0.033,female
MEREDITH,0.033,female
LYNETTE,0.033,female
TERI,0.033,female
CRISTINA,0.033,female
EULA,0.033,female
LEIGH,0.032,female
MEGHAN,0.032,female
SOPHIA,0.032,female
ELOISE,0.032,female
ROCHELLE,0.032,female
GRETCHEN,0.032,female
CECELIA,0.032,female
RAQUEL,0.031,female
HENRIETTA,0.031,female
ALYSSA,0.031,female
JANA,0.031,female
KELLEY,0.031,female
GWEN,0.031,female
KERRY,0.031,female
JENNA,0.030,female
TRICIA,0.030,female
LAVERNE,0.030,female
OLIVE,0.030,female
ALEXIS,0.030,female
TASHA,0.030,female
SILVIA,0.029,female
ELVIRA,0.029,female
CASEY,0.029,female
DELIA,0.029,female
SOPHIE,0.029,female
KATE,0.029,female
PATTI,0.029,female
LORENA,0.029,female
KELLIE,0.029,female
SONJA,0.029,female
LILA,0.029,female
LANA,0.029,female
DARLA,0.029,female
MAY,0.029,female
MINDY,0.029,female
ESSIE,0.029,female
MANDY,0.029,female
LORENE,0.028,female
ELSA,0.028,female
JOSEFINA,0.028,female
JEANNIE,0.028,female
MIRANDA,0.028,female
DIXIE,0.028,female
LUCIA,0.028,female
MARTA,0.028,female
FAITH,0.028,female
LELA,0.028,female
JOHANNA,0.028,female
SHARI,0.028,female
CAMILLE,0.028,female
TAMI,0.027,female
SHAWNA,0.027,female
ELISA,0.027,female
EBONY,0.027,female
MELBA,0.027,female
ORA,0.027,female
NETTIE,0.027,female
TABITHA,0.027,female
OLLIE,0.027,female
JAIME,0.027,female
WINIFRED,0.027,female
KRISTIE,0.027,female
MARINA,0.027,female
ALISHA,0.027,female
AIMEE,0.027,female
RENA,0.027,female
MYRNA,0.026,female
MARLA,0.026,female
TAMMIE,0.026,female
LATASHA,0.026,female
BONITA,0.026,female
PATRICE,0.026,female
RONDA,0.026,female
SHERRIE,0.026,female
ADDIE,0.026,female
FRANCINE,0.025,female
DELORIS,0.025,female
STACIE,0.025,female
ADRIANA,0.025,female
CHERI,0.025,female
SHELBY,0.025,female
ABIGAIL,0.025,female
CELESTE,0.025,female
JEWEL,0.025,female
CARA,0.025,female
ADELE,0.025,female
REBEKAH,0.025,female
LUCINDA,0.025,female
DORTHY,0.025,female
CHRIS,0.024,female
EFFIE,0.024,female
TRINA,0.024,female
REBA,0.024,female
SHAWN,0.024,female
SALLIE,0.024,female
AURORA,0.024,female
LENORA,0.024,female
ETTA,0.024,female
LOTTIE,0.024,female
KERRI,0.024,female
TRISHA,0.024,female
NIKKI,0.024,female
ESTELLA,0.024,female
FRANCISCA,0.024,female
JOSIE,0.024,female
TRACIE,0.024,female
MARISSA,0.024,female
KARIN,0.024,female
BRITTNEY,0.024,female
JANELLE,0.024,female
LOURDES,0.024,female
LAUREL,0.024,female
HELENE,0.024,female
FERN,0.024,female
ELVA,0.024,female
CORINNE,0.024,female
KELSEY,0.024,female
INA,0.023,female
BETTIE,0.023,female
ELISABETH,0.023,female
AIDA,0.023,female
CAITLIN,0.023,female
INGRID,0.023,female
IVA,0.023,female
EUGENIA,0.023,female
CHRISTA,0.023,female
GOLDIE,0.023,female
CASSIE,0.023,female
MAUDE,0.023,female
JENIFER,0.023,female
THERESE,0.022,female
FRANKIE,0.022,female
DENA,0.022,female
LORNA,0.022,female
JANETTE,0.022,female
LATONYA,0.022,female
CANDY,0.022,female
MORGAN,0.022,female
CONSUELO,0.022,female
TAMIKA,0.022,female
ROSETTA,0.022,female
DEBORA,0.022,female
CHERIE,0.022,female
POLLY,0.022,female
DINA,0.022,female
JEWELL,0.021,female
FAY,0.021,female
JILLIAN,0.021,female
DOROTHEA,0.021,female
NELL,0.021,female
TRUDY,0.021,female
ESPERANZA,0.021,female
PATRICA,0.021,female
KIMBERLEY,0.021,female
SHANNA,0.021,female
HELENA,0.021,female
CAROLINA,0.021,female
CLEO,0.021,female
STEFANIE,0.021,female
ROSARIO,0.020,female
OLA,0.020,female
JANINE,0.020,female
MOLLIE,0.020,female
LUPE,0.020,female
ALISA,0.020,female
LOU,0.020,female
MARIBEL,0.020,female
SUSANNE,0.020,female
BETTE,0.019,female
SUSANA,0.019,female
ELISE,0.019,female
CECILE,0.019,female
ISABELLE,0.019,female
LESLEY,0.019,female
JOCELYN,0.019,female
PAIGE,0.019,female
